Company Name,link,website,stars,reviews
Uni Corte,https://www.google.com/maps/place/Uni+Corte/data=!4m7!3m6!1s0x89e4853b286900bd:0xc5632a9a3f72e1c6!8m2!3d42.0685321!4d-71.0171009!16s%2Fg%2F1263ln2kp!19sChIJvQBpKDuF5IkRxuFyP5oqY8U?authuser=0&hl=en&rclk=1,,4.6,49
Shane's Master Barbering,https://www.google.com/maps/place/Shane%27s+Master+Barbering/data=!4m7!3m6!1s0x89e484df2ceca2fd:0x226a70d5564c8d91!8m2!3d42.0811582!4d-71.0200381!16s%2Fg%2F1260xlh9d!19sChIJ_aLsLN-E5IkRkY1MVtVwaiI?authuser=0&hl=en&rclk=1,,4.4,111
Tonys barber shop,https://www.google.com/maps/place/Tonys+barber+shop/data=!4m7!3m6!1s0x89e484c41209deb5:0xa51056b8984887cb!8m2!3d42.0920711!4d-71.0194233!16s%2Fg%2F1ptw6rdc2!19sChIJtd4JEsSE5IkRy4dImLhWEKU?authuser=0&hl=en&rclk=1,,4.2,102
Barber Lounge,https://www.google.com/maps/place/Barber+Lounge/data=!4m7!3m6!1s0x89e4815bdd5bd53b:0xffa30a3ea3b933e4!8m2!3d42.1393406!4d-71.1030342!16s%2Fg%2F11lgwkjpn5!19sChIJO9Vb3VuB5IkR5DO5oz4Ko_8?authuser=0&hl=en&rclk=1,,5.0,41
D' Chovi Dominican Barber Shop,https://www.google.com/maps/place/D%27+Chovi+Dominican+Barber+Shop/data=!4m7!3m6!1s0x89e48526a5304d49:0xe9fc49032742f88a!8m2!3d42.0749305!4d-71.018884!16s%2Fg%2F1pt_gsfk4!19sChIJSU0wpSaF5IkRivhCJwNJ_Ok?authuser=0&hl=en&rclk=1,,4.5,94
June’s Cut The Shop,https://www.google.com/maps/place/June%E2%80%99s+Cut+The+Shop/data=!4m7!3m6!1s0x89e485e357ebd467:0x180f2b16f1dd2cdc!8m2!3d42.0716383!4d-71.0431695!16s%2Fg%2F11jjx7qrys!19sChIJZ9TrV-OF5IkR3Czd8RYrDxg?authuser=0&hl=en&rclk=1,,5.0,18
Majestic cuts salon,https://www.google.com/maps/place/Majestic+cuts+salon/data=!4m7!3m6!1s0x89e48549a2715ce5:0xbdb072f033a64035!8m2!3d42.0799433!4d-71.0023704!16s%2Fg%2F11s4f461gx!19sChIJ5VxxokmF5IkRNUCmM_BysL0?authuser=0&hl=en&rclk=1,,4.4,28
Whitman,https://www.google.com/maps/place/Whitman/data=!4m7!3m6!1s0x89e49b4368480909:0x1a92182df19ff754!8m2!3d42.0811554!4d-70.9373508!16s%2Fg%2F11j9cx52ys!19sChIJCQlIaEOb5IkRVPef8S0Ykho?authuser=0&hl=en&rclk=1,,4.5,93
Mario's Hair Salon,https://www.google.com/maps/place/Mario%27s+Hair+Salon/data=!4m7!3m6!1s0x89e48539fa062957:0x89163d1c91d7703f!8m2!3d42.0635894!4d-71.0148169!16s%2Fg%2F1xcbqn2d!19sChIJVykG-jmF5IkRP3DXkRw9Fok?authuser=0&hl=en&rclk=1,,4.5,104
The Kave Barber Lounge,https://www.google.com/maps/place/The+Kave+Barber+Lounge/data=!4m7!3m6!1s0x89e485fc54d23b7d:0x82219b862e567a78!8m2!3d42.0750054!4d-71.0214978!16s%2Fg%2F11mb10drbd!19sChIJfTvSVPyF5IkReHpWLoabIYI?authuser=0&hl=en&rclk=1,https://www.google.com/maps/reserve/m/yuC25Lp2_VM?source=pa&opi=79508299&hl=en-US&gei=Le64ZviIIemJptQPxf69mAw&sourceurl=http://www.google.com/service/MapsSearchService/Search?hl%3Den%26gl%3Dus%26authuser%3D0%26q%3Dbarbers%26tbm%3Dmap,5.0,7
Cutters Edge,https://www.google.com/maps/place/Cutters+Edge/data=!4m7!3m6!1s0x89e486a8d6fc621b:0x66191720bfa4b133!8m2!3d42.124038!4d-71.1025443!16s%2Fg%2F11bzzz7vgn!19sChIJG2L81qiG5IkRM7GkvyAXGWY?authuser=0&hl=en&rclk=1,,4.7,73
Fadeologyst 101 Barbershop,https://www.google.com/maps/place/Fadeologyst+101+Barbershop/data=!4m7!3m6!1s0x89e48557ce85397f:0x52165bc5d3740b78!8m2!3d42.0860328!4d-70.9939193!16s%2Fg%2F11mwzhpbjy!19sChIJfzmFzleF5IkReAt008VbFlI?authuser=0&hl=en&rclk=1,,5.0,2
Los domi barber shop,https://www.google.com/maps/place/Los+domi+barber+shop/data=!4m7!3m6!1s0x89e48542ebeda87b:0x7f982145bbfa034f!8m2!3d42.074117!4d-71.0192441!16s%2Fg%2F11kqbwzt_q!19sChIJe6jt60KF5IkRTwP6u0UhmH8?authuser=0&hl=en&rclk=1,,3.7,6
Shane's Master Barbering,https://www.google.com/maps/place/Shane%27s+Master+Barbering/data=!4m7!3m6!1s0x89e484df2ceca2fd:0x226a70d5564c8d91!8m2!3d42.0811582!4d-71.0200381!16s%2Fg%2F1260xlh9d!19sChIJ_aLsLN-E5IkRkY1MVtVwaiI?authuser=0&hl=en&rclk=1,,4.4,111
Multecorte Barber Shop,https://www.google.com/maps/place/Multecorte+Barber+Shop/data=!4m7!3m6!1s0x89e48526b9998ba9:0x489c25c33bbe1492!8m2!3d42.0751031!4d-71.0190513!16s%2Fg%2F11bzq47d0j!19sChIJqYuZuSaF5IkRkhS-O8MlnEg?authuser=0&hl=en&rclk=1,,4.9,20
John's Barbershop,https://www.google.com/maps/place/John%27s+Barbershop/data=!4m7!3m6!1s0x89e484dd916acae7:0xab874f8a9bf020ab!8m2!3d42.0864335!4d-71.0253698!16s%2Fg%2F1tkrmtnw!19sChIJ58pqkd2E5IkRqyDwm4pPh6s?authuser=0&hl=en&rclk=1,,4.6,34
Super Star Barber Shop,https://www.google.com/maps/place/Super+Star+Barber+Shop/data=!4m7!3m6!1s0x89e4853af8805403:0xc1a096685d9b4e97!8m2!3d42.0666843!4d-71.0168479!16s%2Fg%2F1260lzwk9!19sChIJA1SA-DqF5IkRl06bXWiWoME?authuser=0&hl=en&rclk=1,,4.0,5
Fernedes Goao’s Barbershop,https://www.google.com/maps/place/Fernedes+Goao%E2%80%99s+Barbershop/data=!4m7!3m6!1s0x89e48526b9f6d74d:0xa54607cc1b07230b!8m2!3d42.0751025!4d-71.0190625!16s%2Fg%2F1th5_v05!19sChIJTdf2uSaF5IkRCyMHG8wHRqU?authuser=0&hl=en&rclk=1,,3.7,3
Barber Shop-Brockton,https://www.google.com/maps/place/Barber+Shop-Brockton/data=!4m7!3m6!1s0x89e48539f240c349:0x96eb2467c497418d!8m2!3d42.0634069!4d-71.0148353!16s%2Fg%2F1tfpw8zf!19sChIJScNA8jmF5IkRjUGXxGck65Y?authuser=0&hl=en&rclk=1,,4.1,7
Bash the Barber,https://www.google.com/maps/place/Bash+the+Barber/data=!4m7!3m6!1s0x89e4854079b5b4ef:0x7dd148ef71583b6c!8m2!3d42.0811897!4d-71.020084!16s%2Fg%2F11vrt5y5bc!19sChIJ77S1eUCF5IkRbDtYce9I0X0?authuser=0&hl=en&rclk=1,,5.0,1
Ahearn Barber Co.,https://www.google.com/maps/place/Ahearn+Barber+Co./data=!4m7!3m6!1s0x89e4855faca9f3af:0x85595292d37e96f5!8m2!3d42.053363!4d-71.0748011!16s%2Fg%2F11txrv13t9!19sChIJr_OprF-F5IkR9ZZ-05JSWYU?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/1256583_mike-ahearn-owner-of-ahearn-barber-co_barber-shop_22104_norton?hl=en-US&gei=NO64ZrCGNZinptQP5qv46Ao&rwg_token=AJKvS9V3KeUnMBzF8dhEy2jYsaBq7VX69wl9L6SDWI39-2WE1xECGoDxjzDgzncp8NvDDu4JRHRn9GBCHl1FogzNI0Ks6moqfA%3D%3D,4.8,25
Chick's Mens Hair Styling Wayne Lajoie,https://www.google.com/maps/place/Chick%27s+Mens+Hair+Styling+Wayne+Lajoie/data=!4m7!3m6!1s0x89e484545b31a497:0x63bbc9559a47a784!8m2!3d42.0879096!4d-71.0538453!16s%2Fg%2F1tfqgtyc!19sChIJl6QxW1SE5IkRhKdHmlXJu2M?authuser=0&hl=en&rclk=1,,4.8,58
Bob's Barber Shop,https://www.google.com/maps/place/Bob%27s+Barber+Shop/data=!4m7!3m6!1s0x89e4854f2e0f6ea5:0x6d3a30a0d31da0b8!8m2!3d42.0533237!4d-71.0120858!16s%2Fg%2F1tfyflj0!19sChIJpW4PLk-F5IkRuKAd06AwOm0?authuser=0&hl=en&rclk=1,,5.0,6
Joseph's Barber Shop,https://www.google.com/maps/place/Joseph%27s+Barber+Shop/data=!4m7!3m6!1s0x89e4854f2e0f6ea5:0x653ade2cad9d08ea!8m2!3d42.0533237!4d-71.0120858!16s%2Fg%2F1tgn5ry0!19sChIJpW4PLk-F5IkR6gidrSzeOmU?authuser=0&hl=en&rclk=1,,4.4,7
A+ Barber Salon,https://www.google.com/maps/place/A%2B+Barber+Salon/data=!4m7!3m6!1s0x89e49b2511afb63b:0x27772e30826da7b8!8m2!3d42.0821038!4d-70.9888482!16s%2Fg%2F1tzvxl8z!19sChIJO7avESWb5IkRuKdtgjAudyc?authuser=0&hl=en&rclk=1,,4.7,80
Yosef Barber Shop,https://www.google.com/maps/place/Yosef+Barber+Shop/data=!4m7!3m6!1s0x89e485005cbea341:0xbbdcae84028e870c!8m2!3d42.0663533!4d-71.0202525!16s%2Fg%2F11lds9t8lr!19sChIJQaO-XACF5IkRDIeOAoSu3Ls?authuser=0&hl=en&rclk=1,,,
Adalstyle Barbershop,https://www.google.com/maps/place/Adalstyle+Barbershop/data=!4m7!3m6!1s0x89e485ef237230f7:0xdeea76ac4097442!8m2!3d42.0883255!4d-71.0950698!16s%2Fg%2F11vy5wcc7z!19sChIJ9zByI--F5IkRQnQJxGqn7g0?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/69515_adalstyle-barbershop_barber-shop_22352_sharon?hl=en-US&gei=NO64ZrCGNZinptQP5qv46Ao,5.0,16
Alves Camilo International Barber Shop,https://www.google.com/maps/place/Alves+Camilo+International+Barber+Shop/data=!4m7!3m6!1s0x89e48520849d7739:0x4b12cc3355c30258!8m2!3d42.0789947!4d-71.0225143!16s%2Fg%2F1hc694m9r!19sChIJOXedhCCF5IkRWALDVTPMEks?authuser=0&hl=en&rclk=1,,4.5,4
Jean's Barber Shop,https://www.google.com/maps/place/Jean%27s+Barber+Shop/data=!4m7!3m6!1s0x89e484bf52a10d8f:0x5248fcc388e078ca!8m2!3d42.0985319!4d-71.0203968!16s%2Fg%2F1tfdfh13!19sChIJjw2hUr-E5IkRynjgiMP8SFI?authuser=0&hl=en&rclk=1,,4.5,4
Tri-Towne Barbers,https://www.google.com/maps/place/Tri-Towne+Barbers/data=!4m7!3m6!1s0x89e49bb06d76d437:0xa513cb336849a7d5!8m2!3d42.0430326!4d-70.9871456!16s%2Fg%2F11k4s5lvqg!19sChIJN9R2bbCb5IkR1adJaDPLE6U?authuser=0&hl=en&rclk=1,https://www.schedulicity.com/scheduling/TBWP2L6?hl=en-US&gei=NO64ZrCGNZinptQP5qv46Ao&rwg_token=AJKvS9WkRDqWxxl0pkrEsPP_LsgFoSI1eKphzmZdw9BXOmzc_oK7Oco6QW9rRUrYUP8jxENk0ahZnLXP-i4gU6V1nknp1SfRYg%3D%3D,4.9,114
Barber Lounge,https://www.google.com/maps/place/Barber+Lounge/data=!4m7!3m6!1s0x89e4815bdd5bd53b:0xffa30a3ea3b933e4!8m2!3d42.1393406!4d-71.1030342!16s%2Fg%2F11lgwkjpn5!19sChIJO9Vb3VuB5IkR5DO5oz4Ko_8?authuser=0&hl=en&rclk=1,,5.0,41
Element Barbershop,https://www.google.com/maps/place/Element+Barbershop/data=!4m7!3m6!1s0x89e485e1d9568013:0x7820591286fd8d17!8m2!3d42.0689686!4d-71.0870471!16s%2Fg%2F11g4ldmhm2!19sChIJE4BW2eGF5IkRF439hhJZIHg?authuser=0&hl=en&rclk=1,https://www.schedulicity.com/scheduling/JBPK58?hl=en-US&gei=Nu64ZoqlBMiIptQPv6-AkQY&rwg_token=AJKvS9WVXHaTMQ8Piqi0kcLtOn3coed1ajfILU-bUHBZQoOaj2yt_22lbk4eaD7Xvk2RxAAZjHeQAmuNVictNTt1bdDaPKfwXA%3D%3D,4.9,86
Whitman,https://www.google.com/maps/place/Whitman/data=!4m7!3m6!1s0x89e49b4368480909:0x1a92182df19ff754!8m2!3d42.0811554!4d-70.9373508!16s%2Fg%2F11j9cx52ys!19sChIJCQlIaEOb5IkRVPef8S0Ykho?authuser=0&hl=en&rclk=1,,4.5,93
Russell's Barber Shop,https://www.google.com/maps/place/Russell%27s+Barber+Shop/data=!4m7!3m6!1s0x89e49a81832efdc5:0x3a25d129e63f2543!8m2!3d42.0326326!4d-70.9598963!16s%2Fg%2F1v26n3r9!19sChIJxf0ug4Ga5IkRQyU_5inRJTo?authuser=0&hl=en&rclk=1,,4.8,27
Cutters Edge,https://www.google.com/maps/place/Cutters+Edge/data=!4m7!3m6!1s0x89e486a8d6fc621b:0x66191720bfa4b133!8m2!3d42.124038!4d-71.1025443!16s%2Fg%2F11bzzz7vgn!19sChIJG2L81qiG5IkRM7GkvyAXGWY?authuser=0&hl=en&rclk=1,,4.7,73
Aristides,https://www.google.com/maps/place/Aristides/data=!4m7!3m6!1s0x89e484beed7993f7:0x53bdee100989a109!8m2!3d42.101963!4d-71.0225078!16s%2Fg%2F1tfm2gq9!19sChIJ95N57b6E5IkRCaGJCRDuvVM?authuser=0&hl=en&rclk=1,,4.4,66
"FineLinez Barbershop Formerly Known As ""Hall of Fame Cuts""",https://www.google.com/maps/place/FineLinez+Barbershop+Formerly+Known+As+%22Hall+of+Fame+Cuts%22/data=!4m7!3m6!1s0x89e48f41dfd760c1:0x8dd509c478e67499!8m2!3d42.0345012!4d-71.0736002!16s%2Fg%2F1tfzc61y!19sChIJwWDX30GP5IkRmXTmeMQJ1Y0?authuser=0&hl=en&rclk=1,,4.5,158
At Ease Barber Lounge,https://www.google.com/maps/place/At+Ease+Barber+Lounge/data=!4m7!3m6!1s0x89e4873e390e2acb:0xd05339e78ae880c8!8m2!3d42.1251877!4d-71.1015177!16s%2Fg%2F11rv1np2dz!19sChIJyyoOOT6H5IkRyIDoiuc5U9A?authuser=0&hl=en&rclk=1,,5.0,40
Diamond BarberShop,https://www.google.com/maps/place/Diamond+BarberShop/data=!4m7!3m6!1s0x89e4835c0f4f9eeb:0x66be5b22be2d1b63!8m2!3d42.1635442!4d-71.0424235!16s%2Fg%2F11y5z72yc4!19sChIJ655PD1yD5IkRYxstviJbvmY?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/1246367_diamond-barbershop_barber-shop_22351_randolph?hl=en-US&gei=Nu64ZoqlBMiIptQPv6-AkQY&rwg_token=AJKvS9U1_Bknkmsyd_gJj378HB6ivrYWWpgZOccCxKv0L1nV3XclV39uds9sRPG06wEeXTdkbOIlTR5MK5VJfI7nSIuOWRVMsw%3D%3D,5.0,3
Willy's Aguadilla Barber Shop,https://www.google.com/maps/place/Willy%27s+Aguadilla+Barber+Shop/data=!4m7!3m6!1s0x89e485c0ae759841:0x3b12035861b96e80!8m2!3d42.0796648!4d-71.0199259!16s%2Fg%2F11rs017m7h!19sChIJQZh1rsCF5IkRgG65YVgDEjs?authuser=0&hl=en&rclk=1,,,
Walter's Barber Shop,https://www.google.com/maps/place/Walter%27s+Barber+Shop/data=!4m7!3m6!1s0x89e48608ce51f6a5:0x4a8b4aaa697b3479!8m2!3d42.0660503!4d-71.1027905!16s%2Fg%2F1vq9n90b!19sChIJpfZRzgiG5IkReTR7aapKi0o?authuser=0&hl=en&rclk=1,,4.5,85
CLEAN CUT Barbershop,https://www.google.com/maps/place/CLEAN+CUT+Barbershop/data=!4m7!3m6!1s0x89e48fc77d2fea63:0x6c52ffb88b2fb92!8m2!3d42.0163205!4d-71.025952!16s%2Fg%2F11fzfd__jv!19sChIJY-ovfceP5IkRkvuyiPsvxQY?authuser=0&hl=en&rclk=1,,4.6,36
Dennis' Barber Shop,https://www.google.com/maps/place/Dennis%27+Barber+Shop/data=!4m7!3m6!1s0x89e48f1dd9dd9985:0x9b77184f9d541f38!8m2!3d42.0125486!4d-71.0673473!16s%2Fg%2F11bc95_kr9!19sChIJhZnd2R2P5IkROB9UnU8Yd5s?authuser=0&hl=en&rclk=1,,4.9,48
Revolution Barbers,https://www.google.com/maps/place/Revolution+Barbers/data=!4m7!3m6!1s0x89e363867fd59cef:0x90fdacc25458614c!8m2!3d42.2183154!4d-70.967249!16s%2Fg%2F11l26qnbyd!19sChIJ75zVf4Zj44kRTGFYVMKs_ZA?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/1150431_revolution-barbers_barber-shop_114555_braintree-town?hl=en-US&gei=Nu64ZoqlBMiIptQPv6-AkQY&rwg_token=AJKvS9V5eDD4QIxEBPq6CXQPZNw5yJfi4SokIpji2FN0Wo8ER_QjfTDGevajR3WhVZvGWuShbg3CPx27pGUCCLD1-GWtP-ZIAg%3D%3D,5.0,25
Sammy K Barber Shop,https://www.google.com/maps/place/Sammy+K+Barber+Shop/data=!4m7!3m6!1s0x89e4834a5dc4d6d3:0x5fb9548e6d0aa81!8m2!3d42.1326339!4d-71.040212!16s%2Fg%2F11hjbh265j!19sChIJ09bEXUqD5IkRgarQ5kiV-wU?authuser=0&hl=en&rclk=1,,5.0,14
Bay State Barbershop,https://www.google.com/maps/place/Bay+State+Barbershop/data=!4m7!3m6!1s0x89e47fecb5019287:0x108cb76cfafaaa3!8m2!3d42.1779088!4d-71.2063503!16s%2Fg%2F11fm79h9_1!19sChIJh5IBtex_5IkRo6qvz3bLCAE?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/899064_bay-state-barbershop_barber-shop_22348_norwood?hl=en-US&gei=Nu64ZoqlBMiIptQPv6-AkQY&rwg_token=AJKvS9UpiDDmaEF09PlG7_GNrNTVxXQNTS26VQzoBTGhh4lzWGZei_DSgHCh56GwnqQCWNcpuqj5huM4PU_S74muvTdyu2K8Lg%3D%3D,4.8,263
The Barber Shop,https://www.google.com/maps/place/The+Barber+Shop/data=!4m7!3m6!1s0x89e48fb99fc43685:0xcb11643845a0d5e3!8m2!3d42.0167646!4d-71.0319013!16s%2Fg%2F1tgnn2s4!19sChIJhTbEn7mP5IkR49WgRThkEcs?authuser=0&hl=en&rclk=1,https://www.schedulicity.com/scheduling/TBHHUN?hl=en-US&gei=Nu64ZoqlBMiIptQPv6-AkQY&rwg_token=AJKvS9UVoM-KSTyeLJQc3qBcaZbpezenopT_4F8tw9VUM13It4EkhHVe7-iaKP2iR6HRMDMaA9CgiAXh4AgRxTx_vLeK5F-LiQ%3D%3D,4.7,161
Sperança Unisex Salon,https://www.google.com/maps/place/Speran%C3%A7a+Unisex+Salon/data=!4m7!3m6!1s0x89e48b65d5a5ecad:0x774cd4b6e63b7682!8m2!3d41.9224019!4d-71.0979901!16s%2Fg%2F11s5p8ts9t!19sChIJreyl1WWL5IkRgnY75rbUTHc?authuser=0&hl=en&rclk=1,,4.9,44
195 South Barbershop,https://www.google.com/maps/place/195+South+Barbershop/data=!4m7!3m6!1s0x89e49103c3d9d32f:0x9755795ad0afeb4b!8m2!3d42.0115371!4d-70.9437705!16s%2Fg%2F11h37tmwzv!19sChIJL9PZwwOR5IkRS-uv0Fp5VZc?authuser=0&hl=en&rclk=1,https://app.acuityscheduling.com/schedule.php?owner=15129830&hl=en-US&gei=Nu64ZoqlBMiIptQPv6-AkQY,5.0,42
Chatees Barbershop,https://www.google.com/maps/place/Chatees+Barbershop/data=!4m7!3m6!1s0x89e4814db5595a99:0xfced9afc9c9297bd!8m2!3d42.1361408!4d-71.1120663!16s%2Fg%2F1v9t_y9b!19sChIJmVpZtU2B5IkRvZeSnPya7fw?authuser=0&hl=en&rclk=1,https://www.vagaro.com/googlemap/U2FsdGVkX18~hbMSThf4g~HhjFdBiyKRjl2HkViw658=/services?hl=en-US&gei=Nu64ZoqlBMiIptQPv6-AkQY&rwg_token=AJKvS9UE7to5QMnBDHPTsCbG_inh3d-U3zIL-chRKwQJuJCjavkoZSAyaryydjsWpMjZZQOGA0glezETHRkKWh9HhAW2ZKH8Ow%3D%3D,4.8,66
Billys barbershop 2,https://www.google.com/maps/place/Billys+barbershop+2/data=!4m7!3m6!1s0x89e481cc09ddba3f:0x9d41f1c4a6fb884!8m2!3d42.13269!4d-71.1011701!16s%2Fg%2F11swvg5gyw!19sChIJP7rdCcyB5IkRhLhvShwf1Ak?authuser=0&hl=en&rclk=1,,5.0,19
Distinguished Barber Co.,https://www.google.com/maps/place/Distinguished+Barber+Co./data=!4m7!3m6!1s0x89e49daa7c300001:0x8db6d48f967abbc9!8m2!3d42.1466455!4d-70.9544383!16s%2Fg%2F11gfnzc0s3!19sChIJAQAwfKqd5IkRybt6lo_Uto0?authuser=0&hl=en&rclk=1,https://distinguished-barber-co.square.site/?hl=en-US&gei=N-64ZpG7NOqGptQPoPCDgAo,4.7,118
Dave & Vinny's Barber Shop,https://www.google.com/maps/place/Dave+%26+Vinny%27s+Barber+Shop/data=!4m7!3m6!1s0x89e486ab75d7543d:0x93a5abdbd906de98!8m2!3d42.1289237!4d-71.1021143!16s%2Fg%2F1tgmx92t!19sChIJPVTXdauG5IkRmN4G2durpZM?authuser=0&hl=en&rclk=1,,4.6,89
Ricks Barbershop,https://www.google.com/maps/place/Ricks+Barbershop/data=!4m7!3m6!1s0x89e49dc40899a01f:0x94cd00e68e3dbf2e!8m2!3d42.1282506!4d-70.942194!16s%2Fg%2F11nmpk5jlp!19sChIJH6CZCMSd5IkRLr89juYAzZQ?authuser=0&hl=en&rclk=1,https://ricks-barbershop.square.site/?hl=en-US&gei=N-64ZpG7NOqGptQPoPCDgAo,4.9,48
J's Barbershop,https://www.google.com/maps/place/J%27s+Barbershop/data=!4m7!3m6!1s0x89e49d3a8a1651a7:0x4e7389bed96517a6!8m2!3d42.1293219!4d-70.9489548!16s%2Fg%2F11k03x91xn!19sChIJp1EWijqd5IkRphdl2b6Jc04?authuser=0&hl=en&rclk=1,,4.9,61
